gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
KCNS1	-13.051776	-65.25888	-13.051776	5	428	817	0.523867809057528
KCNS2	-6.89708758428571	-48.27961309	9.16924219	7	16	621	0.0257648953301127
KCNS3	-13.051776	-234.931968	-13.051776	18	167	205	0.814634146341463
KCNT1	-12.7520687342308	-331.55378709	-5.25938709	26	69	110	0.627272727272727
KCNT2	-12.675080844375	-202.80129351	-7.02465351	16	126	223	0.565022421524664
KCNV1	-13.051776	-117.465984	-13.051776	9	277	439	0.630979498861048
KCNV2	-11.9384874244444	-107.44638682	-3.03217882	9	112	439	0.255125284738041
KCTD1	-12.5672324234884	-540.39099421	-2.23599939	43	30	49	0.612244897959184
KCTD10	-13.051776	-78.310656	-13.051776	6	406	738	0.550135501355014
KCTD12	-13.051776	-26.103552	-13.051776	2	499	1311	0.380625476735317
KCTD14	-10.44515298	-62.67091788	2.58796212	6	54	738	0.0731707317073171
KCTD15	-9.63554128727273	-105.99095416	0.41831588	11	72	408	0.176470588235294
KCTD16	-13.051776	-182.724864	-13.051776	14	203	291	0.697594501718213
KCTD17	-11.1036787725	-44.41471509	-5.25938709	4	153	933	0.163987138263666
KCTD18	-13.051776	-78.310656	-13.051776	6	407	738	0.551490514905149
KCTD2	-13.051776	-39.155328	-13.051776	3	453	1069	0.423760523854069
KCTD20	-13.051776	-143.569536	-13.051776	11	278	408	0.681372549019608
KCTD21	-13.051776	-52.207104	-13.051776	4	412	933	0.441586280814577
KCTD3	-12.3820957233333	-222.87772302	-7.02465351	18	136	205	0.663414634146341
KCTD5	-13.051776	-26.103552	-13.051776	2	500	1311	0.3813882532418
KCTD6	-13.051776	-52.207104	-13.051776	4	413	933	0.442658092175777
KCTD7	-13.051776	-130.51776	-13.051776	10	315	477	0.660377358490566
KCTD8	-11.94655229475	-477.86209179	3.27071798	40	13	66	0.196969696969697
KCTD9	-9.2719318025	-37.08772721	2.06760079	4	42	933	0.045016077170418
KDELR2	-13.051776	-78.310656	-13.051776	6	408	738	0.552845528455285
KDELR3	-13.051776	-26.103552	-13.051776	2	501	1311	0.382151029748284
KDM1A	-13.051776	-65.25888	-13.051776	5	429	817	0.525091799265606
KDM1B	-13.051776	-221.880192	-13.051776	17	174	218	0.798165137614679
KDM2A	-13.051776	-104.414208	-13.051776	8	312	534	0.584269662921348
KDM2B	-12.8072858789189	-473.86957752	-4.00564152	37	39	55	0.709090909090909
KDM3A	-11.8652509090909	-130.51776	0	11	79	408	0.193627450980392
KDM3B	-13.051776	-39.155328	-13.051776	3	454	1069	0.424695977549111
KDM4A	-13.051776	-39.155328	-13.051776	3	455	1069	0.425631431244153
KDM4B	-12.15128015375	-291.63072369	-5.25938709	24	80	127	0.62992125984252
KDM4C	-11.6936899364103	-912.10781504	6.26600444	78	8	15	0.533333333333333
KDM5A	-13.051776	-391.55328	-13.051776	30	72	76	0.947368421052632
KDM5B	-13.051776	-143.569536	-13.051776	11	279	408	0.683823529411765
KDM6A	-12.315520345	-1083.76579036	-2.23599939	88	6	7	0.857142857142857
KDM7A	-11.00726654	-154.10173156	5.55175926	14	22	291	0.0756013745704467
KDM8	-8.04197741	-16.08395482	-3.03217882	2	74	1311	0.0564454614797864
KDR	-11.83759064	-189.40145024	6.37518976	16	19	223	0.0852017937219731
KDSR	-10.606098848	-159.09148272	-4.00564152	15	101	254	0.397637795275591
KEL	-10.841984952	-108.41984952	0	10	83	477	0.174004192872117
KHDRBS1	-13.051776	-78.310656	-13.051776	6	409	738	0.55420054200542
KHDRBS2	-12.2966715577333	-922.25036683	5.92243719	75	2	16	0.125
KHDRBS3	-12.7778158868182	-843.33584853	-7.02465351	66	17	17	1
KIAA0040	-13.051776	-156.621312	-13.051776	12	225	320	0.703125
KIAA0232	-12.5934001817647	-214.08780309	-5.25938709	17	108	218	0.495412844036697
KIAA0319	-12.6811432303226	-393.11544014	-1.56216014	31	39	90	0.433333333333333
KIAA0319L	-13.051776	-13.051776	-13.051776	1	526	1564	0.336317135549872
KIAA0408	-13.051776	-52.207104	-13.051776	4	414	933	0.443729903536977
KIAA0513	-13.051776	-52.207104	-13.051776	4	415	933	0.444801714898178
KIAA0586	-12.4973781260465	-537.38725942	-3.03217882	43	34	49	0.693877551020408
KIAA0753	-13.051776	-39.155328	-13.051776	3	456	1069	0.426566884939196
KIAA0825	-13.051776	-78.310656	-13.051776	6	410	738	0.555555555555556
KIAA0895	-12.335739885	-320.72923701	-0.4619595	26	36	110	0.327272727272727
KIAA1109	-12.2826428053448	-712.39328271	3.86396619	58	8	23	0.347826086956522
KIAA1143	-13.051776	-13.051776	-13.051776	1	527	1564	0.33695652173913
KIAA1191	-13.051776	-65.25888	-13.051776	5	430	817	0.526315789473684
KIAA1210	-12.8199635965385	-333.31905351	-7.02465351	26	77	110	0.7
KIAA1217	-11.9579724146821	-2068.72922774	8.51828354	150	31	97	0.319587628865979
KIAA1328	-12.6973955232632	-1206.25257471	-5.25938709	95	10	10	1
KIAA1522	-13.051776	-13.051776	-13.051776	1	528	1564	0.337595907928389
KIAA1549	-12.1849878728155	-1255.0537509	7.16881594	100	74	209	0.354066985645933
KIAA1549L	-11.5520289175294	-981.92245799	14.51008572	85	1	14	0.0714285714285714
KIAA1671	-12.8634284221875	-411.62970951	-7.02465351	32	82	97	0.845360824742268
KIAA1755	-13.051776	-39.155328	-13.051776	3	457	1069	0.427502338634238
KIAA1841	-13.051776	-156.621312	-13.051776	12	226	320	0.70625
KIAA1958	-12.0006406590476	-252.01345384	-3.03217882	21	73	160	0.45625
KIAA2013	-9.875981224	-49.37990612	2.82719788	5	33	817	0.0403916768665851
KIAA2026	-12.4585134545455	-274.087296	0	22	37	160	0.23125
KIDINS220	-12.7778158868182	-281.11194951	-7.02465351	22	115	160	0.71875
KIF11	-13.051776	-117.465984	-13.051776	9	278	439	0.633257403189066
KIF12	-13.051776	-13.051776	-13.051776	1	529	1564	0.338235294117647
KIF13A	-12.5272305503509	-714.05214137	0.80059496	57	13	22	0.590909090909091
KIF13B	-12.6794886103704	-1027.03857744	-0.97786491	81	11	13	0.846153846153846
KIF14	-13.051776	-78.310656	-13.051776	6	411	738	0.556910569105691
KIF15	-12.9148454063636	-284.12659894	-10.03930294	22	130	160	0.8125
KIF16B	-12.2107633362637	-1111.1794636	2.33530598	91	6	10	0.6
KIF18A	-12.80064589625	-307.21550151	-7.02465351	24	87	127	0.68503937007874
KIF18B	-13.051776	-13.051776	-13.051776	1	530	1564	0.338874680306905
KIF1B	-12.8053696512245	-627.46311291	-0.97786491	49	28	36	0.777777777777778
KIF20A	-13.051776	-78.310656	-13.051776	6	412	738	0.558265582655827
KIF20B	-9.899084306875	-158.38534891	6.03976414	16	21	223	0.0941704035874439
KIF21A	-12.8691359245455	-424.68148551	-7.02465351	33	72	84	0.857142857142857
KIF21B	-10.038214755	-20.07642951	-7.02465351	2	145	1311	0.110602593440122
KIF23	-13.051776	-65.25888	-13.051776	5	431	817	0.527539779681763
KIF24	-12.5495157925	-150.59418951	-7.02465351	12	159	320	0.496875
KIF25	-12.5202563307692	-325.5266646	-5.25938709	26	70	110	0.636363636363636
KIF26A	-12.7310595266667	-534.70450012	0.41831588	42	18	32	0.5625
KIF26B	-12.3731487778151	-1472.40470456	6.88640152	100	76	209	0.363636363636364
KIF27	-11.3147622575	-135.77714709	0	12	54	320	0.16875
KIF2A	-12.675080844375	-202.80129351	-7.02465351	16	127	223	0.569506726457399
KIF2C	-13.051776	-130.51776	-13.051776	10	316	477	0.662473794549266
KIF3A	-11.5983895683333	-139.18067482	4.38886118	12	33	320	0.103125
KIF3B	-13.051776	-52.207104	-13.051776	4	416	933	0.445873526259378
KIF4A	-13.051776	-143.569536	-13.051776	11	280	408	0.686274509803922
KIF5B	-13.051776	-169.673088	-13.051776	13	235	316	0.743670886075949
KIF5C	-12.8291363168571	-449.01977109	-5.25938709	35	54	65	0.830769230769231
KIF6	-9.12945201571429	-63.90616411	8.3773694	7	24	621	0.0386473429951691
KIF7	-13.051776	-52.207104	-13.051776	4	417	933	0.446945337620579
KIF9	-13.051776	-143.569536	-13.051776	11	281	408	0.688725490196078
KIFAP3	-12.6358126242857	-619.15481859	-0.4619595	49	24	36	0.666666666666667
KIFBP	-13.051776	-130.51776	-13.051776	10	317	477	0.664570230607966
KIFC3	-13.051776	-13.051776	-13.051776	1	531	1564	0.339514066496164
KIN	-13.051776	-78.310656	-13.051776	6	413	738	0.559620596205962
KIRREL3	-12.4321839487719	-1417.26897016	1.15261394	100	167	209	0.799043062200957
KIT	-12.437227056	-435.30294696	-1.56216014	35	40	65	0.615384615384615
KITLG	-11.7029311727027	-433.00845339	13.98983673	37	1	55	0.0181818181818182
KIZ	-13.051776	-52.207104	-13.051776	4	418	933	0.448017148981779
KL	-11.5052965608824	-391.18008307	2.33530598	34	26	82	0.317073170731707
KLB	-12.0943080116667	-145.13169614	-1.56216014	12	73	320	0.228125
KLC1	-12.54598818925	-501.83952757	1.15261394	40	21	66	0.318181818181818
KLC4	-10.02377761	-80.19022088	1.15261394	8	54	534	0.101123595505618
KLF10	-13.051776	-26.103552	-13.051776	2	502	1311	0.382913806254767
KLF11	-13.051776	-78.310656	-13.051776	6	414	738	0.560975609756098
KLF12	-12.2036645613445	-1452.2360828	5.92243719	100	93	209	0.444976076555024
KLF13	-11.324337075	-181.1893932	-5.25938709	16	106	223	0.475336322869955
KLF15	-13.051776	-130.51776	-13.051776	10	318	477	0.666666666666667
KLF3	-13.051776	-78.310656	-13.051776	6	415	738	0.562330623306233
KLF4	-13.051776	-39.155328	-13.051776	3	458	1069	0.42843779232928
KLF5	-13.051776	-143.569536	-13.051776	11	282	408	0.691176470588235
KLF7	-8.7468951045	-174.93790209	20.93327016	20	1	183	0.00546448087431694
KLHDC1	-11.9480926666667	-215.065668	-0.97786491	18	66	205	0.321951219512195
KLHDC10	-13.051776	-65.25888	-13.051776	5	432	817	0.528763769889841
KLHDC2	-13.051776	-13.051776	-13.051776	1	532	1564	0.340153452685422
KLHDC3	-12.449063751	-124.49063751	-7.02465351	10	204	477	0.427672955974843
KLHDC4	-13.051776	-104.414208	-13.051776	8	313	534	0.586142322097378
KLHDC7A	-13.051776	-26.103552	-13.051776	2	503	1311	0.383676582761251
KLHDC8A	-13.051776	-13.051776	-13.051776	1	533	1564	0.34079283887468
KLHL1	-12.1092962838	-1816.39444257	7.52137818	150	42	97	0.43298969072165
KLHL12	-13.051776	-52.207104	-13.051776	4	419	933	0.44908896034298
KLHL13	-12.716814734	-572.25666303	-4.00564152	45	20	26	0.769230769230769
KLHL14	-12.5173752623256	-538.24713628	-1.56216014	43	27	49	0.551020408163265
KLHL15	-13.051776	-130.51776	-13.051776	10	319	477	0.668763102725367
KLHL17	-13.051776	-13.051776	-13.051776	1	534	1564	0.341432225063939
KLHL18	-11.04273517	-33.12820551	-7.02465351	3	167	1069	0.15622076707203
KLHL2	-13.051776	-287.139072	-13.051776	22	142	160	0.8875
KLHL20	-12.3937040285714	-260.2677846	-5.25938709	21	99	160	0.61875
KLHL21	-13.051776	-26.103552	-13.051776	2	504	1311	0.384439359267735
KLHL22	-13.051776	-130.51776	-13.051776	10	320	477	0.670859538784067
KLHL23	-13.051776	-52.207104	-13.051776	4	420	933	0.45016077170418
KLHL24	-11.7133299317647	-199.12660884	3.67468467	17	31	218	0.142201834862385
KLHL25	-13.051776	-65.25888	-13.051776	5	433	817	0.529987760097919
KLHL26	-13.051776	-26.103552	-13.051776	2	505	1311	0.385202135774218
KLHL28	-13.051776	-26.103552	-13.051776	2	506	1311	0.385964912280702
KLHL29	-12.206368617482	-1696.68523783	3.86396619	100	129	209	0.617224880382775
KLHL3	-12.36080043	-247.2160086	-5.25938709	20	107	183	0.584699453551913
KLHL31	-13.051776	-91.362432	-13.051776	7	363	621	0.584541062801932
KLHL32	-11.728667074	-175.93000611	-5.25938709	15	112	254	0.440944881889764
KLHL34	-7.014820455	-14.02964091	-0.97786491	2	51	1311	0.0389016018306636
KLHL36	-13.051776	-195.77664	-13.051776	15	190	254	0.748031496062992
KLHL38	-12.5038557736364	-137.54241351	-7.02465351	11	183	408	0.448529411764706
KLHL4	-12.078201995	-410.65886783	-1.56216014	34	43	82	0.524390243902439
KLHL40	-12.0466499466667	-108.41984952	-4.00564152	9	126	439	0.287015945330296
KLHL41	-13.051776	-26.103552	-13.051776	2	507	1311	0.386727688787185
KLHL42	-13.051776	-13.051776	-13.051776	1	535	1564	0.342071611253197
KLHL5	-13.051776	-261.03552	-13.051776	20	163	183	0.890710382513661
KLHL6	-12.5495157925	-150.59418951	-7.02465351	12	160	320	0.5
KLHL7	-13.051776	-143.569536	-13.051776	11	283	408	0.693627450980392
KLHL8	-6.109730525	-61.09730525	15.59258908	10	3	477	0.00628930817610063
KLRG1	-13.051776	-130.51776	-13.051776	10	321	477	0.672955974842767
KMO	-13.051776	-91.362432	-13.051776	7	364	621	0.586151368760064
KMT2A	-13.051776	-104.414208	-13.051776	8	314	534	0.588014981273408
KMT2C	-12.5181322857732	-1214.25883172	9.10776816	97	2	12	0.166666666666667
KMT2E	-13.051776	-104.414208	-13.051776	8	315	534	0.589887640449438
KMT5A	-13.051776	-39.155328	-13.051776	3	459	1069	0.429373246024322
KMT5B	-13.051776	-169.673088	-13.051776	13	236	316	0.746835443037975
KNDC1	-11.9829444035417	-575.18133137	9.04554725	48	7	34	0.205882352941176
KNL1	-12.3759162435294	-210.39057614	-1.56216014	17	70	218	0.321100917431193
KNOP1	-11.039457485	-66.23674491	-0.97786491	6	100	738	0.13550135501355
KNTC1	-13.051776	-13.051776	-13.051776	1	536	1564	0.342710997442455
KPNA1	-11.59190834	-382.53297522	2.82719788	33	24	84	0.285714285714286
KPNA2	-13.051776	-39.155328	-13.051776	3	460	1069	0.430308699719364
KPNA3	-12.8106911004	-320.26727751	-7.02465351	25	95	131	0.725190839694656
KPNA4	-11.7102303233333	-105.39207291	-0.97786491	9	79	439	0.17995444191344
KPNA5	-12.4825245994737	-237.16796739	-2.23599939	19	63	170	0.370588235294118
KPNA6	-12.18595501	-109.67359509	-5.25938709	9	147	439	0.334851936218679
KPNA7	-13.051776	-13.051776	-13.051776	1	537	1564	0.343350383631714
KPNB1	-13.051776	-143.569536	-13.051776	11	284	408	0.696078431372549
KRAS	-11.2928801630769	-146.80744212	-4.00564152	13	121	316	0.382911392405063
KREMEN1	-13.051776	-156.621312	-13.051776	12	227	320	0.709375
KRIT1	-10.8067606866667	-64.84056412	0.41831588	6	83	738	0.112466124661247
KRR1	-13.051776	-65.25888	-13.051776	5	434	817	0.531211750305998
KRT18	-13.051776	-13.051776	-13.051776	1	538	1564	0.343989769820972
KRT222	-13.051776	-143.569536	-13.051776	11	285	408	0.698529411764706
KSR1	-10.31268857	-113.43957427	11.05106324	11	9	408	0.0220588235294118
KSR2	-12.6212672507143	-176.69774151	-7.02465351	14	141	291	0.484536082474227
KTN1	-13.051776	-717.84768	-13.051776	55	20	21	0.952380952380952
KXD1	-13.051776	-13.051776	-13.051776	1	539	1564	0.34462915601023
KY	-13.051776	-39.155328	-13.051776	3	461	1069	0.431244153414406
KYAT1	-13.051776	-26.103552	-13.051776	2	508	1311	0.387490465293669
KYAT3	-11.5446060385714	-161.62448454	-4.00564152	14	98	291	0.336769759450172
KYNU	-12.90109793775	-516.04391751	-7.02465351	40	57	66	0.863636363636364
L2HGDH	-13.051776	-104.414208	-13.051776	8	316	534	0.591760299625468
L3HYPDH	-13.051776	-52.207104	-13.051776	4	421	933	0.45123258306538
L3MBTL1	-13.051776	-65.25888	-13.051776	5	435	817	0.532435740514076
L3MBTL2	-13.051776	-26.103552	-13.051776	2	509	1311	0.388253241800153
L3MBTL3	-12.8137198294737	-486.92135352	-4.00564152	38	43	55	0.781818181818182
LACC1	-12.3034375622222	-221.46187612	0.41831588	18	52	205	0.253658536585366
LACTB	-13.051776	-13.051776	-13.051776	1	540	1564	0.345268542199488
LACTB2	-11.5573379204545	-254.26143425	13.79873926	22	5	160	0.03125
LACTBL1	-13.051776	-91.362432	-13.051776	7	365	621	0.587761674718196
LAD1	-13.051776	-13.051776	-13.051776	1	541	1564	0.345907928388747
LAG3	-13.051776	-26.103552	-13.051776	2	510	1311	0.389016018306636
LAMA1	-12.9590510386154	-842.33831751	-7.02465351	65	19	20	0.95
LAMA2	-12.5757897316309	-2930.15900747	11.3443169	200	13	74	0.175675675675676
LAMA3	-12.5001232545205	-912.50899758	2.58796212	73	15	22	0.681818181818182
LAMA4	-13.051776	-730.899456	-13.051776	56	21	21	1
LAMA5	-13.051776	-430.708608	-13.051776	33	79	84	0.94047619047619
LAMB1	-13.051776	-78.310656	-13.051776	6	416	738	0.563685636856369
LAMB3	-13.051776	-91.362432	-13.051776	7	366	621	0.589371980676328
LAMB4	-12.675080844375	-202.80129351	-7.02465351	16	128	223	0.573991031390135
LAMC1	-13.051776	-65.25888	-13.051776	5	436	817	0.533659730722154
LAMC3	-13.051776	-39.155328	-13.051776	3	462	1069	0.432179607109448
LAMP2	-13.051776	-78.310656	-13.051776	6	417	738	0.565040650406504
LAMP3	-13.051776	-65.25888	-13.051776	5	437	817	0.534883720930233
LAMP5	-13.051776	-117.465984	-13.051776	9	279	439	0.635535307517084
LAMTOR3	-13.051776	-26.103552	-13.051776	2	511	1311	0.38977879481312
LAMTOR5	-13.051776	-13.051776	-13.051776	1	542	1564	0.346547314578005
LANCL1	-13.051776	-182.724864	-13.051776	14	204	291	0.701030927835051
LANCL2	-12.2427253252174	-281.58268248	-2.23599939	23	56	128	0.4375
LANCL3	-12.422285175	-248.4457035	-0.4619595	20	63	183	0.344262295081967
LAP3	-13.051776	-208.828416	-13.051776	16	175	223	0.7847533632287
LAPTM4A	-12.29838568875	-98.38708551	-7.02465351	8	182	534	0.340823970037453
LAPTM4B	-11.7962826948936	-554.42528666	1.47886315	47	21	35	0.6
LAPTM5	-13.051776	-39.155328	-13.051776	3	463	1069	0.43311506080449
LARGE1	-12.2214687376344	-2273.1931852	14.09681913	150	6	97	0.0618556701030928
LARGE2	-13.051776	-13.051776	-13.051776	1	543	1564	0.347186700767263
LARP1	-13.051776	-91.362432	-13.051776	7	367	621	0.590982286634461
LARP1B	-13.051776	-156.621312	-13.051776	12	228	320	0.7125
LARP4	-12.08962658	-169.25477212	0.41831588	14	55	291	0.189003436426117
LARP4B	-12.649967834	-189.74951751	-7.02465351	15	144	254	0.566929133858268
LARP6	-13.051776	-91.362432	-13.051776	7	368	621	0.592592592592593
LARP7	-11.44552964	-206.01953352	-0.97786491	18	67	205	0.326829268292683
LARS1	-12.6212672507143	-176.69774151	-7.02465351	14	142	291	0.487972508591065
LARS2	-12.0062142755814	-516.26721385	-0.97786491	43	25	49	0.510204081632653
LAS1L	-13.051776	-195.77664	-13.051776	15	191	254	0.751968503937008
LAT2	-12.5495157925	-150.59418951	-7.02465351	12	161	320	0.503125
LATS1	-13.051776	-195.77664	-13.051776	15	192	254	0.755905511811024
LATS2	-11.8067131554167	-283.36111573	-2.23599939	24	54	127	0.425196850393701
LAYN	-13.051776	-52.207104	-13.051776	4	422	933	0.452304394426581
LBH	-13.051776	-104.414208	-13.051776	8	317	534	0.593632958801498
LBHD2	-13.051776	-104.414208	-13.051776	8	318	534	0.595505617977528
LBR	-12.186002815	-194.97604504	0.80059496	16	46	223	0.20627802690583
LCA5	-12.5495157925	-150.59418951	-7.02465351	12	162	320	0.50625
LCA5L	-13.051776	-52.207104	-13.051776	4	423	933	0.453376205787781
LCK	-13.051776	-26.103552	-13.051776	2	512	1311	0.390541571319603
LCLAT1	-12.46134509	-897.21684648	2.58796212	72	13	26	0.5
LCMT1	-13.051776	-65.25888	-13.051776	5	438	817	0.536107711138311
LCMT2	-12.1907585014286	-85.33530951	-7.02465351	7	207	621	0.333333333333333
LCOR	-11.753044515	-70.51826709	-5.25938709	6	167	738	0.226287262872629
LCORL	-12.29793146	-147.57517752	-4.00564152	12	109	320	0.340625
LCP1	-12.2656295882609	-282.10948053	-7.02465351	23	81	128	0.6328125
LCP2	-13.051776	-234.931968	-13.051776	18	168	205	0.819512195121951
LCT	-13.051776	-65.25888	-13.051776	5	439	817	0.537331701346389
LCTL	-13.051776	-13.051776	-13.051776	1	544	1564	0.347826086956522
LDAH	-12.1252423431325	-1006.39511448	8.85419715	83	2	10	0.2
LDB1	-7.02465351	-7.02465351	-7.02465351	1	99	1564	0.0632992327365729
LDB2	-12.3893281246667	-929.19960935	3.47719021	75	6	16	0.375
LDB3	-10.6843776766667	-64.10626606	1.15261394	6	74	738	0.100271002710027
LDHB	-13.051776	-13.051776	-13.051776	1	545	1564	0.34846547314578
LDLRAD1	-11.846351502	-59.23175751	-7.02465351	5	213	817	0.260709914320685
LDLRAD3	-11.9797563443137	-610.96757356	13.34145068	51	3	32	0.09375
LDLRAD4	-12.4554085810559	-2005.32078155	8.00658591	150	37	97	0.381443298969072
LECT2	-13.051776	-26.103552	-13.051776	2	513	1311	0.391304347826087
LEF1	-12.4386137177778	-447.79009384	-3.03217882	36	38	62	0.612903225806452
LEKR1	-13.051776	-182.724864	-13.051776	14	205	291	0.70446735395189
LEMD2	-9.22190404666667	-27.66571214	-1.56216014	3	85	1069	0.0795135640785781
LEMD3	-12.4795116136364	-274.5492555	-0.4619595	22	39	160	0.24375
LEO1	-11.2532307857143	-78.7726155	-0.4619595	7	82	621	0.132045088566828
LEPR	-12.2792205278571	-171.90908739	-2.23599939	14	78	291	0.268041237113402
LEPROT	-10.03639784	-30.10919352	-4.00564152	3	113	1069	0.105706267539757
LEPROTL1	-13.051776	-13.051776	-13.051776	1	546	1564	0.349104859335038
LETM1	-13.051776	-156.621312	-13.051776	12	229	320	0.715625
LETM2	-13.051776	-65.25888	-13.051776	5	440	817	0.538555691554468
LFNG	-13.051776	-39.155328	-13.051776	3	464	1069	0.434050514499532
LGALS1	-13.051776	-26.103552	-13.051776	2	514	1311	0.392067124332571
LGALS2	-13.051776	-52.207104	-13.051776	4	424	933	0.454448017148982
LGALS3	-13.051776	-78.310656	-13.051776	6	418	738	0.56639566395664
LGALS8	-13.051776	-130.51776	-13.051776	10	322	477	0.675052410901468
LGALSL	-13.051776	-130.51776	-13.051776	10	323	477	0.677148846960168
LGI1	-11.242549104	-56.21274552	-4.00564152	5	122	817	0.149326805385557
LGI2	-13.051776	-169.673088	-13.051776	13	237	316	0.75
LGMN	-13.051776	-117.465984	-13.051776	9	280	439	0.637813211845103
LGR4	-12.7638695125	-612.6657366	-5.25938709	48	29	34	0.852941176470588
LGR5	-12.3896488374468	-582.31349536	-3.03217882	47	30	35	0.857142857142857
LGR6	-13.051776	-247.983744	-13.051776	19	149	170	0.876470588235294
LGSN	-13.051776	-169.673088	-13.051776	13	238	316	0.753164556962025
LHFPL2	-11.9084409097436	-464.42919548	0.41831588	39	22	48	0.458333333333333
LHFPL3	-12.9938228991346	-1351.35758151	-7.02465351	100	208	209	0.995215311004785
LHFPL5	-13.051776	-26.103552	-13.051776	2	515	1311	0.392829900839054
LHFPL6	-12.1220837965789	-921.27836854	9.40804702	76	3	10	0.3
LHPP	-11.7498278872727	-387.74432028	3.05439115	33	23	84	0.273809523809524
LHX1	-13.051776	-26.103552	-13.051776	2	516	1311	0.393592677345538
LHX2	-13.051776	-39.155328	-13.051776	3	465	1069	0.434985968194574
LHX3	-13.051776	-26.103552	-13.051776	2	517	1311	0.394355453852021
LHX6	-11.04273517	-33.12820551	-7.02465351	3	168	1069	0.157156220767072
LHX8	-13.051776	-65.25888	-13.051776	5	441	817	0.539779681762546
LIAS	-13.051776	-26.103552	-13.051776	2	518	1311	0.395118230358505
LIG3	-12.5881511930769	-163.64596551	-7.02465351	13	152	316	0.481012658227848
LIG4	-13.051776	-91.362432	-13.051776	7	369	621	0.594202898550725
LIMA1	-13.051776	-261.03552	-13.051776	20	164	183	0.896174863387978
LIMCH1	-12.4018258081905	-1302.19170986	1.78290223	100	162	209	0.77511961722488
LIMD1	-12.248159668	-183.72239502	-7.02465351	15	145	254	0.570866141732283
LIME1	-3.33829312	-6.67658624	6.37518976	2	16	1311	0.0122044241037376
LIMK2	-12.2810377553846	-159.65349082	-3.03217882	13	104	316	0.329113924050633
LIMS1	-11.8351994265789	-449.73757821	13.31183379	38	2	55	0.0363636363636364
LIMS2	-13.051776	-117.465984	-13.051776	9	281	439	0.640091116173121
LIN28A	-13.051776	-26.103552	-13.051776	2	519	1311	0.395881006864989
LIN28B	-12.202081482	-671.11448151	0	55	10	21	0.476190476190476
LIN52	-13.051776	-143.569536	-13.051776	11	286	408	0.700980392156863
LIN54	-12.4279649222222	-335.5550529	-2.23599939	27	50	111	0.45045045045045
LIN7A	-12.3753764790476	-259.88290606	1.15261394	21	41	160	0.25625
LIN7C	-13.051776	-156.621312	-13.051776	12	230	320	0.71875
LIN9	-12.8843559308333	-463.83681351	-7.02465351	36	53	62	0.854838709677419
LINGO1	-13.051776	-574.278144	-13.051776	44	35	38	0.921052631578947
LINGO2	-12.1773208608173	-2532.88273905	4.85984715	200	61	74	0.824324324324324
LINGO3	-13.051776	-78.310656	-13.051776	6	419	738	0.567750677506775
LINS1	-12.3820957233333	-111.43886151	-7.02465351	9	177	439	0.403189066059225
LIPC	-12.7038477507692	-660.60008304	-4.00564152	52	29	32	0.90625
LIPG	-13.051776	-78.310656	-13.051776	6	420	738	0.569105691056911
LIPH	-13.051776	-52.207104	-13.051776	4	425	933	0.455519828510182
LIPI	-12.6212672507143	-353.39548302	-7.02465351	28	81	113	0.716814159292035
LIPT1	-12.449063751	-124.49063751	-7.02465351	10	205	477	0.429769392033543
LITAF	-13.051776	-65.25888	-13.051776	5	442	817	0.541003671970624
LLGL2	-11.2291745075	-179.66679212	16.10984788	16	2	223	0.00896860986547085
LLPH	-13.051776	-39.155328	-13.051776	3	466	1069	0.435921421889616
LMBR1	-11.9148190726829	-488.50758198	0	41	18	37	0.486486486486487
LMBRD1	-12.5491736672093	-539.61446769	-5.25938709	43	39	49	0.795918367346939
LMBRD2	-13.051776	-143.569536	-13.051776	11	287	408	0.70343137254902
LMCD1	-12.047255585	-72.28353351	-7.02465351	6	212	738	0.287262872628726
LMF1	-12.4315577436364	-546.98854072	0.41831588	44	21	38	0.552631578947368
LMLN	-12.449063751	-124.49063751	-7.02465351	10	206	477	0.431865828092243
LMNA	-13.051776	-78.310656	-13.051776	6	421	738	0.570460704607046
LMNB1	-12.1907585014286	-85.33530951	-7.02465351	7	208	621	0.334943639291465
LMNB2	-12.4951767921429	-174.93247509	-5.25938709	14	112	291	0.384879725085911
LMO1	-12.84394419	-372.47438151	-7.02465351	29	66	84	0.785714285714286
LMO2	-13.051776	-26.103552	-13.051776	2	520	1311	0.396643783371472
LMO3	-13.051776	-482.915712	-13.051776	37	53	55	0.963636363636364
LMO4	-13.051776	-26.103552	-13.051776	2	521	1311	0.397406559877956
LMO7	-12.0377372271053	-1372.30204389	6.58629979	100	82	209	0.392344497607655
LMOD1	-13.051776	-208.828416	-13.051776	16	176	223	0.789237668161435
LMOD2	-13.051776	-91.362432	-13.051776	7	370	621	0.595813204508857
LMOD3	-13.051776	-78.310656	-13.051776	6	422	738	0.571815718157182
LMTK2	-10.260193016875	-164.16308827	6.68844337	16	15	223	0.0672645739910314
LMX1A	-10.9224172883333	-131.06900746	4.70813963	12	26	320	0.08125
LMX1B	-12.5189925015385	-325.49380504	0.80059496	26	30	110	0.272727272727273
LNP1	-11.5126236711111	-103.61361304	0.80059496	9	61	439	0.138952164009112
LNPEP	-12.1489618595455	-267.27716091	-2.23599939	22	55	160	0.34375
LNPK	-12.3703891	-556.6675095	-2.23599939	45	16	26	0.615384615384615
LNX1	-12.6053224822222	-340.34370702	-7.02465351	27	79	111	0.711711711711712
